Product ID	Product Name	Type	Supplier	Brand	Location (see company C-code )	Ingredients	Product Name on UI	Product Description on UI	Features on UI	Ingredients on UI	Flow Calibration [ml/tick]	Notes	URL
P-0	WATER	Water				WATER	Water	Quench your thirst with the refreshing purity of Vancouver water. Derived from pristine mountain springs and cascading rivers, this liquid jewel captures the essence of nature itself. Its crisp and clean taste revitalizes your senses, offering a revitalizing embrace of clarity and hydration. Experience the essence of Vancouver in every sip.		Rain, mist, snow, ice	7.1		
P-1		Dish	Jusu	Jusu									
P-2		Hand	Jusu	Jusu									
P-3		Dish	Jusu	Jusu							6.0		
P-4				Jusu									
P-5	Free & Clear Dish Soap	Dish	VIP	EchoClean	C-2, C-3, C-4, C-9	Aqua (filtered water), Sodium Laureth Sulfate* (cleaning agent), Cocamidopropylamine Oxide* (cleaning agent), Sodium Chloride (viscosity modifier), Benzisothiazolinone (preservative) *Plant-based Ingredients	EchoClean Free and Clear<br>Dish Soap	Cuts through grease and tough residue, leaving your dishes sparkling. Designed for hand-washing dishes, pots, and pans.<br>Phosphate-free<br>100% biodegradable<br><br>No petroleum-based cleaners	Plant-based<br> PETA certified<br> 100% biodegradable	Aqua (filtered water), Sodium Laureth Sulfate* (cleaning agent), Cocamidopropylamine Oxide* (cleaning agent), Sodium Chloride (viscosity modifier), Benzisothiazolinone (preservative) *Plant-based Ingredients	6.3		https://drive.google.com/uc?export=view&id=1mk4sBq10m_low1L3M-q-XBftwsAl0Dec
P-6	Tangerine Dish Soap	Dish	VIP	EchoClean	C-2. C-3, C-4, C-5, C-9	Aqua, Sodium Lauryl Sulphate, Laureth-7*, Cocamidopropylamine Oxide*, Cocamidopropyl Betaine*, Decyl Glucoside*, Sodium Chloride, Citrus Reticulata Blanco Oil, Citrus Paradisi Oil, Citrus Aurantium L. Leaf Oil, Benzisothiazolinone. *Plant-based and biodegradable ingredients.	EchoClean Tangerine<br>Dish Soap	Cuts through grease and tough residue, leaving your dishes sparkling. Designed for hand-washing dishes, pots, and pans.<br>Phosphate-free<br>100% biodegradable<br><br>No petroleum-based cleaners	Plant-based<br> PETA certified<br> 100% biodegradable	Aqua, Sodium Lauryl Sulphate, Laureth-7*, Cocamidopropylamine Oxide*, Cocamidopropyl Betaine*, Decyl Glucoside*, Sodium Chloride, Citrus Reticulata Blanco Oil, Citrus Paradisi Oil, Citrus Aurantium L. Leaf Oil, Benzisothiazolinone. *Plant-based and biodegradable ingredient.	6.0		https://drive.google.com/uc?export=view&id=1mJD-0S9c3PHCVFkBgeurpyRrSpMbwpH4
P-7	Lavender Laundry Detergent	Laundry	VIP	EchoClean	C-2, C-3, C-4, C-5, C-9	Water (diluent), Laureth-7 (cleaning agent), Sodium Lauryl Sulfate (cleaning agent), Sodium Oleate (foam control agent), Sodium Citrate (chelating agent), Glycerin (processing aid), Protease Enzyme (soil remover), Sodium Chloride ( viscosity adjuster), Calcium Chloride (enzyme stabilizer), Amylase Enzyme (soil remover), Mannanase Enzyme  (soil remover), Lipase Enzyme (soil remover), Citric Acid (pH adjuster), Benzisothiazolinone (preservative), Sodium Carbonate (pH adjuster), Fragrance	EchoClean Lavender<br>Laundry Detergent	Fights tough dirt and stains: no dyes, no perfumes.<br>Plant-based<br>PETA certified<br>No artificial perfumes	Plant-based<br> PETA certified<br> 100% biodegradable	Water (diluent), Laureth-7 (cleaning agent), Sodium Lauryl Sulfate (cleaning agent), Sodium Oleate (foam control agent), Sodium Citrate (chelating agent), Glycerin (processing aid), Protease Enzyme (soil remover), Sodium Chloride ( viscosity adjuster), Calcium Chloride (enzyme stabilizer), Amylase Enzyme (soil remover), Mannanase Enzyme  (soil remover), Lipase Enzyme (soil remover), Citric Acid (pH adjuster), Benzisothiazolinone (preservative), Sodium Carbonate (pH adjuster), Fragrance	5.7		https://drive.google.com/uc?export=view&id=1mHmXzSv9cFrwtZpa4y330VCjpSoiMAaa
P-8	Free & Clear Laundry Detergent	Laundry	VIP	EchoClean	C-2, C-3, C-4, C-5,	Water (diluent), Laureth-7 (cleaning agent), Sodium Lauryl Sulfate (cleaning agent), Sodium Oleate (foam control agent), Sodium Citrate (chelating agent), Glycerin (processing aid), Protease Enzyme (soil remover), Sodium Chloride ( viscosity adjuster), Calcium Chloride (enzyme stabilizer), Amylase Enzyme (soil remover), Mannanase Enzyme  (soil remover), Lipase Enzyme (soil remover), Citric Acid (pH adjuster), Benzisothiazolinone (preservative), Sodium Carbonate (pH adjuster)	EchoClean Free and Clear<br>Laundry Detergent	Fights tough dirt and stains: no dyes, no perfumes.<br>Plant-based<br>PETA certified<br>No artificial perfumes	Plant-based<br> PETA certified<br> 100% biodegradable	Water (diluent), Laureth-7 (cleaning agent), Sodium Lauryl Sulfate (cleaning agent), Sodium Oleate (foam control agent), Sodium Citrate (chelating agent), Glycerin (processing aid), Protease Enzyme (soil remover), Sodium Chloride ( viscosity adjuster), Calcium Chloride (enzyme stabilizer), Amylase Enzyme (soil remover), Mannanase Enzyme  (soil remover), Lipase Enzyme (soil remover), Citric Acid (pH adjuster), Benzisothiazolinone (preservative), Sodium Carbonate (pH adjuster)	5.8		https://drive.google.com/uc?export=view&id=1mFlF3nuVyW0ShMDARHcI0SbGce9a4npB
P-9			Nada	Gentle Earth									
